model,n_estimators,max_depth,min_samples_leaf,max_features,validation_rmse,learning_rate
random_forest,500,8,1,sqrt,2.077060500198546,
random_forest,500,None,3,sqrt,2.0806209338921446,
random_forest,500,16,3,sqrt,2.0806209338921446,
random_forest,500,8,3,sqrt,2.080864174977529,
random_forest,200,None,5,0.7,2.082589238010608,
random_forest,200,16,5,0.7,2.08258923801061,
random_forest,200,8,5,0.7,2.082589238010611,
random_forest,500,None,1,sqrt,2.0887203592758894,
random_forest,500,16,1,sqrt,2.0891104683634873,
random_forest,200,8,1,sqrt,2.091285039928208,
random_forest,500,16,5,0.7,2.0932026561940975,
random_forest,500,8,5,0.7,2.0932026561940984,
random_forest,500,None,5,0.7,2.0932026561940984,
random_forest,200,None,3,sqrt,2.0958329454831257,
random_forest,200,16,3,sqrt,2.095832945483128,
random_forest,200,16,3,0.7,2.0961160294360157,
random_forest,200,None,3,0.7,2.0961160294360197,
random_forest,200,8,3,sqrt,2.0967321354919033,
random_forest,200,8,3,0.7,2.0970641205637026,
random_forest,500,8,3,0.7,2.09745634050999,
random_forest,200,None,1,sqrt,2.097528067834035,
random_forest,500,16,3,0.7,2.0976502851462318,
random_forest,500,None,3,0.7,2.0976502851462335,
random_forest,200,16,1,sqrt,2.09769529861524,
random_forest,500,8,5,sqrt,2.1032036920694597,
random_forest,500,None,5,sqrt,2.1032976343669656,
random_forest,500,16,5,sqrt,2.103297634366967,
random_forest,200,16,5,sqrt,2.1239873496770802,
random_forest,200,8,5,sqrt,2.1239873496770807,
random_forest,200,None,5,sqrt,2.123987349677082,
random_forest,500,None,1,0.7,2.1288233166577735,
random_forest,500,16,1,0.7,2.1288453325075114,
random_forest,500,8,1,0.7,2.129710957079557,
random_forest,200,16,1,0.7,2.1375478352542974,
random_forest,200,None,1,0.7,2.137547835254299,
random_forest,200,8,1,0.7,2.140868836535809,
gradient_boosting,100,2,4,,2.247675630247686,0.03
gradient_boosting,100,2,4,,2.273429308116218,0.05
gradient_boosting,100,2,1,,2.2864992750951636,0.03
gradient_boosting,100,3,1,,2.331827751109561,0.03
gradient_boosting,100,2,1,,2.392089258814485,0.05
gradient_boosting,100,3,4,,2.446634197159237,0.05
gradient_boosting,300,3,1,,2.4509864216259873,0.03
gradient_boosting,300,2,4,,2.4595641624964557,0.03
gradient_boosting,300,2,1,,2.4636258141441183,0.03
gradient_boosting,100,3,4,,2.4705058238096766,0.03
gradient_boosting,100,3,1,,2.4784967615420537,0.05
gradient_boosting,300,2,4,,2.48486281123897,0.05
gradient_boosting,100,2,4,,2.514278072797011,0.1
gradient_boosting,100,3,1,,2.521775691031425,0.1
gradient_boosting,300,3,1,,2.54618709061444,0.05
gradient_boosting,300,3,1,,2.5488514963544757,0.1
gradient_boosting,300,2,1,,2.548871518201478,0.05
gradient_boosting,300,3,4,,2.5521080395899327,0.05
gradient_boosting,100,3,4,,2.558845448443009,0.1
gradient_boosting,300,2,4,,2.5850921998875886,0.1
gradient_boosting,300,3,4,,2.5983491441987887,0.1
gradient_boosting,300,3,4,,2.60236789881227,0.03
gradient_boosting,100,2,1,,2.6114162800560328,0.1
gradient_boosting,300,2,1,,2.693963296709982,0.1
