model,MAE,RMSE,MASE,Bias,frequency,forecast_type,RMSE_improvement_percent,MAE_improvement_percent
lstm_weekly,0.5103491640306366,0.5265683106641017,0.22011845280241824,0.5103491640306366,weekly,rolling one-step-ahead,82.48718991648519,77.98815471975817
random_forest,2.112645141720889,2.7278714053080417,1.5320649796257697,0.8708088859677425,weekly,conditional,9.275410453090075,8.879603868963814
gradient_boosting,2.20205808750242,2.80663185451873,1.596906178108103,1.2435439205015844,weekly,conditional,6.655965338021305,5.023138399225992
seasonal_naive,2.3185205853174606,3.006760811959995,1.7323861105302614,1.7317507058913308,weekly,operational,0.0,0.0
sarimax,2.904792781525459,3.6612383544234817,2.170445542105997,2.613576319598882,weekly,conditional,-21.766864190199986,-25.28647793427824
sarima,3.001126346575357,3.68018311376406,2.2424254637539454,2.7139491859899936,weekly,operational,-22.396936235346434,-29.441436301262403
mean,3.788833121924255,4.39729969422285,2.8309957293908856,0.481005646065372,weekly,operational,-46.247073486248304,-63.41597939297458
naive,3.78320293421856,4.45910854649494,2.8267888834207477,-0.8824799488705728,weekly,operational,-48.30273591294458,-63.173144037474636
drift,4.339890674447435,5.117957264105129,3.2427429686172493,1.0068021780426912,weekly,operational,-70.21497831644693,-87.18361622194529
